main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
BUDGETS,"Agency budget requests, zero-based budget reviews in",https://app.leg.wa.gov/billsummary?BillNumber=1178&Year=2021&Initiative=false,HB 1178,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Improving state budgeting through zero-based budget reviews.,"Stokesbary, Dufault, Young, Kraft, Barkis, Robertson",No Requester,0,6
BUDGETS,"Appropriations, certain 2019-2021 biennial, freeing up certain federal coronavirus funds by reattributing of",https://app.leg.wa.gov/billsummary?BillNumber=5344&Year=2021&Initiative=false,SB 5344,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Rolfes, Robinson, Billig, Dhingra, Nguyen, Nobles, Randall, Salda�a",No Requester,7,0
BUDGETS,"Appropriations, certain 2019-2021 biennial, reattributing to budget stabilization account/federal medicaid funds",https://app.leg.wa.gov/billsummary?BillNumber=5343&Year=2021&Initiative=false,SB 5343,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Revising 2019-2021 fiscal biennium appropriations of state and federal funding for previously implemented medicaid rates and other medicaid expenditures in the developmental disabilities and long-term care programs in response to the COVID-19 pandemic.,"Rolfes, Robinson, Dhingra, Nguyen",No Requester,4,0
BUDGETS,"Appropriations, certain 2019-2021 biennial, reattributing to free up federal coronavirus relief funds",https://app.leg.wa.gov/billsummary?BillNumber=1467&Year=2021&Initiative=false,HB 1467,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Authorizing appropriations from the budget stabilization account to replace prior state expenditures from federal coronavirus relief funding.,"Stokesbary, Robertson, Dufault, Sutherland, Jacobsen, Chambers",No Requester,0,6
BUDGETS,"Budgets transition work group, chairs of transportation committees to convene",https://app.leg.wa.gov/billsummary?BillNumber=1603&Year=2021&Initiative=false,HB 1603,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Shifting funding obligations from the transportation appropriations act to the operating appropriations act.,"Barkis, Stokesbary, Abbarno, Caldier, Eslick, Graham, Robertson, Corry, Chase, Sutherland, Dufault, Jacobsen, Volz, Griffey, Chambers, Young",No Requester,0,16
BUDGETS,"Capital construction projects, major, capital budget matching grants program for higher education institutions",https://app.leg.wa.gov/billsummary?BillNumber=5958&Year=2021&Initiative=false,SB 5958,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing capital budget matching grants to independent higher education institutions.,Honeyford,No Requester,0,1
BUDGETS,"Capital construction projects, major, predesign requirements, reducing",https://app.leg.wa.gov/billsummary?BillNumber=1023&Year=2021&Initiative=false,HB 1023,54 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning predesign requirements and thresholds.,"Steele, Tharinger, Callan, Young",No Requester,2,2
BUDGETS,"Capital projects, 4-year colleges, supporting health care/behavioral health occupations degree programs enrollment",https://app.leg.wa.gov/billsummary?BillNumber=1949&Year=2021&Initiative=false,HB 1949,Cap Budget,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Prioritizing higher education capital projects.,Caldier,No Requester,0,1
BUDGETS,"Capital, 2021-2023 and supplemental 2019-2021",https://app.leg.wa.gov/billsummary?BillNumber=5083&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5083,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the capital budget.,"Frockt, Mullet, Claire Wilson",Office of Financial Management,3,2
BUDGETS,"Capital, general obligation bonds for projects",https://app.leg.wa.gov/billsummary?BillNumber=5084&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5084,331 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning state general obligation bonds and related accounts.,"Frockt, Mullet, Claire Wilson",Office of Financial Management,3,2
